Referência;Produto;Atributos;Categorias;Qtde Vendida;Custo do Produto;Total vendas;;;;;;;;;;;;;;;;;;
10575;Chaveiro For Fisher;Único/Único;Lançamentos, Utilitários > Chaveiros;1;4,52;4,52;;;;;;;;;;;;;;;;;;
10190;Pulseira Macramê Robalo Café;Único/Único;Acessórios > Pulseiras;1;11,41;11,41;;;;;;;;;;;;;;;;;;
10195;Pulseira Macramê Traíra Preta e Marrom;Único/Único;Acessórios > Pulseiras;1;11,41;11,41;;;;;;;;;;;;;;;;;;
10023;Colar Tucunaré;Único/Único;Acessórios > Colares;1;6,43;6,43;;;;;;;;;;;;;;;;;;
10057;Pulseira Marlin Emborrachada;Único/Único;Acessórios > Pulseiras;1;6,11;6,11;;;;;;;;;;;;;;;;;;
10058;Pulseira Robalo Emborrachada;Único/Único;Acessórios > Pulseiras;1;6,11;6,11;;;;;;;;;;;;;;;;;;
10041;Pulseira Tucunaré em Recorte;Único/Único;Acessórios > Pulseiras;1;6,17;6,17;;;;;;;;;;;;;;;;;;
10017;Colar Dourado;Único/Único;Acessórios > Colares;1;6,43;6,43;;;;;;;;;;;;;;;;;;
10444;Camiseta Fish TV Angler;Único/G;Fish TV;1;110,66;110,66;;;;;;;;;;;;;;;;;;
10229;Camiseta Robalo Tribal;GG/Único;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10430;Camiseta Salto do Tucunaré;Único/M;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10424;Camiseta Mestre da Emboscada;Único/M;Camisetas;1;25;25;;;;;;;;;;;;;;;;;;
10052;Sandália Robalo;41/42/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10502;Camiseta Baby Look Tambaqui Aquarela - Preta;Único/M;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10029;Quadro Tucunaré (38x30);Único/Único;Utilitários > Quadros;1;15,31;15,31;;;;;;;;;;;;;;;;;;
10544;"Boné ""Esse é Bruto!""";Único/Único;Lançamentos, Bonés;1;22,68;22,68;;;;;;;;;;;;;;;;;;
10055;Sandália Tucunaré;Único/37/38;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10543;Boné Pesque & Pague;Único/Único;Lançamentos, Bonés;1;22,68;22,68;;;;;;;;;;;;;;;;;;
10502;Camiseta Baby Look Tambaqui Aquarela - Preta;Único/M;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10029;Quadro Tucunaré (38x30);Único/Único;Utilitários > Quadros;1;15,31;15,31;;;;;;;;;;;;;;;;;;
10544;"Boné ""Esse é Bruto!""";Único/Único;Lançamentos, Bonés;1;22,68;22,68;;;;;;;;;;;;;;;;;;
10055;Sandália Tucunaré;Único/37/38;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10543;Boné Pesque & Pague;Único/Único;Lançamentos, Bonés;1;22,68;22,68;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
